ลำดับที่,วันที่ประเมิน,ชื่อหอพัก,โซน,มาตรฐานที่ต้องมี,มาตรฐานเพิ่มเติม,ผลการประเมิน,หมายเหตุ,ละติจูด,ลองจิจูด,ราคาหอพัก,ค่าน้ำ/ต่อหน่วย/เหมาจ่าย,ค่าไฟ/ต่อหน่วย,ค่ามัดจำ,สัญญาขั้นต่ำ,หอพักชาย / หอพักหญิง / หอพักรวม,ห้องพัดลม / ห้องแอร์,เครื่องทำน้ำอุ่น,ตู้เย็น,ตู้เสื้อผ้า,เตียง,โต๊ะเขียนหนังสือ,Wi-Fi ฟรี,ลิฟต์,ส่วนกลาง,เครื่องซักผ้าหยอดเหรียญ,ที่จอดรถยนต์/มอเตอร์,คีย์การ์ด,กล้อง CCTV,รปภ.,เบอร์โทรศัพท์ติดต่อ,Line ID,Facebook ,การเลี้ยงสัตว์,การประกอบอาหาร,เวลาเปิด–ปิดประตูหอ,อยู่ใกล้ถนนใหญ่,ร้านเหล้า,เงียบสงบ / ปานกลาง / พลุกพล่าน),7-Eleven,Lotus's go fresh,Big c mini,ตลาดบังเอิญ,ร้านอาหารศูนย์อาหารมีเจริญ,อยู่ในพื้นที่ลุ่มต่ำหรือมีความเสี่ยงน้ำท่วมขังช่วงหน้าฝนหรือไม่
38,6-พ.ค.-69,หอพักดีจริงแมนชั่น 3,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.117765,104.897904,2600-3000,150 เหมาจ่าย,8,1000,1 ปี,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,082-195-5699,082-195-5699,หอพักหญิงดีจริงแมนชั่น 3,ไม่ได้,ได้,05.00-22.00 น.,อยู่หน้าม.,ไกล,ปานกลาง,400 เมตร,2.2 กิโลเมตร,1.5 กิโลเมตร,1 กิโลเมตร,400 เมตร,ไม่เสี่ยง
39,6-พ.ค.-69,หอพักแผ่นดินทอง,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.118985,104.898027,2300-3000,20,8,3000,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,200,มี,มี,มี,มี,ไม่มี,200,มี,มี,ไม่มี,มี,มี,087-445-5987,24680tang,หอพักแผ่นดินทอง ใกล้ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่หน้าม.,ไม่ไกลมาก,ปานกลาง,450 เมตร,2.2 กิโลเมตร,3.8 กิโลเมตร,2.1 กิโลเมตร,400 เมตร,ไม่เสี่ยง
40,6-พ.ค.-69,หอพักหญิงกชพร,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.121254,104.898004,2500-2800,150 เหมาจ่าย,8,2500,1 ปี,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,081-877-0645,081-877-0645,หอพักหญิงกชพร,ไม่ได้,ได้,05.00-22.00 น.,ใกล้ถนนใหญ่,ไม่ไกลมาก,ปานกลาง,2.3 กิโลเมตร,1.8 กิโลเมตร,3.4 กิโลเมตร,1.7 กิโลเมตร,2.3 กิโลเมตร,ไม่เสี่ยง
41,6-พ.ค.-69,หอพักศิริเพลส,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.121461,104.893986,3500-4200,20,7,10000,ไม่ขั้นต่ำ,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,083-727-9777,083-727-9777,หอพักศิริเพลส,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ไม่ไกลมาก,ปานกลาง,950 เมตร,2.3 กิโลเมตร,2.2 กิโลเมตร,900 เมตร,1.5 กิโลเมตร,เสี่ยง
42,6-พ.ค.-69,หอพักพี่น้อง,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.123249,104.893312,1700-2500,150 เหมาจ่าย,8,3000,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,089-917-7653,089-917-7653,หอพักพี่น้อง,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ใกล้ปานกลาง,ปานกลาง,1.1 กิโลเมตร,2.2 กิโลเมตร,2.4 กิโลเมตร,1.1 กิโลเมตร,1.6 กิโลเมตร,เสี่ยง
43,6-พ.ค.-69,หอพักสุขเสมอแมนชัน,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.144948,104.880512,2500-3000,20,8,3000,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,063-998-8949,063-998-8949,สุขเสมอแมนชั่น,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.3 กิโลเมตร,1.9 กิโลเมตร,3.5 กิโลเมตร,2.4 กิโลเมตร,2.4 กิโลเมตร,ไม่เสี่ยง
44,6-พ.ค.-69,หอพักโรสนี,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.127824,104.889876,2500-2800,150 เหมาจ่าย,8,3000,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,081-926-2284,081-926-2284,โรงแรมโรสนี,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.2 กิโลเมตร,1.8 กิโลเมตร,3.4 กิโลเมตร,1.8 กิโลเมตร,2.3 กิโลเมตร,ไม่เสี่ยง
45,6-พ.ค.-69,หอพักสิริพรรณ,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.129106,104.890981,1700-2700,100,8,1500-2500,4 เดือน,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,081-438-6356,081-438-6356,หอพักสิริพรรณ ม. อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.5 กิโลเมตร,1.7 กิโลเมตร,3.3 กิโลเมตร,2.1 กิโลเมตร,2.2 กิโลเมตร,ไม่เสี่ยง
46,7-พ.ค.-69,หอพักจตุพร,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.129101,104.898077,1500-2000,20,8,2000,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,086-75-9908,086-75-9908,หอพักจตุพร,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.3 กิโลเมตร,2.3 กิโลเมตร,3.9 กิโลเมตร,3.3 กิโลเมตร,2.8 กิโลเมตร,ไม่่เสี่ยง
47,7-พ.ค.-69,หอพักมยุรีแมนชั่น,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.132945,104.896342,2300-3100,150 เหมาจ่าย,9,3300,6 เดือน,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,100,มี,มี,ไม่มี,มี,ไม่มี,081-966-2754,081-966-2754,มยุรีแมนชั่น,ไม่ได้,ได้,05.00-22.00 น.,ติดถนนใหญ่,ไม่ไกลมาก,ปานกลาง,400 เมตร,1.4 กิโลเมตร,3.1 กิโลเมตร,2.5 กิโลเมตร,1.9 กิโลเมตร,ไม่เสี่ี่ยง
48,7-พ.ค.-69,หอพักณัฐินีอพาร์ตเม้น (บ้านฝรั่ง),โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.130765,104.897444,1500-4350,150 เหมาจ่าย,8,1500-4350,6 เดือน,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,094-476-1991,094-476-1991,หอพักณัฐินี บ้านฝรั่ง ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,ติดถนนใหญ่,ไกล,ปานกลาง,550 เมตร,2.3 กิโลเมตร,2.8 กิโลเมตร,2.3 กิโลเมตร,1.7 กิโลเมตร,ไม่เสี่ยง
49,7-พ.ค.-69,หอพักพิศมัย,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.129177,104.898418,2200-2800,150 เหมาจ่าย,8,1000,6 เดือน,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,085-059-0058,085-059-0058,หอพิศมัย แมนชั่น,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ไกล,เงียบสงบ,120 เมตร,2.1 กิโลเมตร,2.5 กิโลเมตร,2 กิโลเมตร,1.5 กิโลเมตร,ไม่เสี่ยง
50,7-พ.ค.-69,หอพักพิมพ์เจริญ,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.129371,104.900739,3500,100,7,5000,1 ปี,หอพักรวม,แอร์,มี,ไม่มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,086-648-3881,086-648-3881,หอพักพิมพ์เจริญ,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ไกล,เงียบสงบ,300 เมตร,1.4 กิโลเมตร,3 กิโลเมตร,2.4 กิโลเมตร,1.9 กิโลเมตร,ไม่เสี่ยง
51,7-พ.ค.-69,หอพักเรือนเจ้าจอม,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.125734,104.900194,3500,100,8,5000,1 ปี,หอพักรวม,แอร์,มี,มี,มี,มี,มี,มี,ไม่มี,150,มี,มี,มี,มี,ไม่มี,080-476-4579,080-476-4579,หอพักเรือนเจ้าจอม,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ใกล้้,ดัง,1.5 กิโลเมตร,1.8 กิโลเมตร,3.9 กิโลเมตร,2.5 กิโลเมตร,1.5 กิโลเมตร,เสี่ยง
52,7-พ.ค.-69,หอพักพิมพ์ศิริอพาร์ทเม้นต์,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.124884,104.897901,4000,18,7,4000,1 ปี,หอพักรวม,แอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,098-105-8875,098-105-8875,หอพัก  พิมพ์ศิริอพาร์ทเมน,ไม่ได้,ได้,05.00-22.00 น.,ติดถนนใหญ่,ใกล้,ดััง,450 เมตร,650 เมตร,3.5 กิโลเมตร,2.1 กิโลเมตร,1.1 กิโลเมตร,ไม่เสี่ยง
53,7-พ.ค.-69,หอพักทวีชัยแมนชั้น,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.129001,104.898013,3000-4000,100,8,3500,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,350,มี,มี,ไม่มี,มี,ไม่มี,200,มี,มี,มี,มี,มี,090-247-4498,090-247-4498,ทวีชัย แมนชั่น,ไม่ได้,ได้,05.00-22.00 น.,ติดถนนใหญ่,ไกล,ปานกลาง,400 เมตร,1 กิโลเมตร,2.7 กิโลเมตร,2.1 กิโลเมตร,1.5 กิโลเมตร,ไม่เสี่ยง
54,7-พ.ค.-69,หอพักหญิงวีระพร,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.120791,104.899432,3100-3400,45,7,5000,10 เดือน,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,120,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,082-979-7898,082-979-7898,082-979-7898,ไม่ได้,ได้,05.00-22.00 น.,ติดถนนใหญ่,ไกล,ปานกลาง,500 เมตร,80 เมตร,2.9 กิโลเมตร,2.4 กิโลเมตร,600 เมตร,ไม่เสี่ยง
55,7-พ.ค.-69,หอพักหญิงวีระพร1,โซนบ้านเก่าน้อย บ้านบัววัด,ครบ,ครบ,ผ่าน,,15.120888,104.8996,3200-4200,45,7,5000,10 เดือน,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,120,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,082-979-7898,082-979-7898,082-979-7898,ไม่ได้,ได้,05.00-22.00 น.,ติดถนนใหญ่,ไกล,ปานกลาง,500 เมตร,80 เมตร,2.9 กิโลเมตร,2.4 กิโลเมตร,600 เมตร,ไม่เสี่ยง
56,7-พ.ค.-69,หอพักหญิงวีระพร2,โซนบ้านเก่าน้อย บ้านบัววัด,ครบ,ครบ,ผ่าน,,15.120946,104.90072,3400-4400,45,7,5000,10 เดือน,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,120,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,082-979-7898,082-979-7898,082-979-7898,ไม่ได้,ได้,05.00-22.00 น.,ติดถนนใหญ่,ไกล,ปานกลาง,500 เมตร,80 เมตร,2.9 กิโลเมตร,2.4 กิโลเมตร,600 เมตร,ไม่เสี่ยง
57,7-พ.ค.-69,หอพักพรกมล,โซนบ้านเก่าน้อย บ้านบัววัด,ครบ,ครบ,ผ่าน,,15.120166,104.900317,3300-3600,100,8,3300-3600,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,มีค่าส่วนกลาง 50 บาท,มี,มี,มี,มี,มี,082-366-9409,ไม่มีข้อมูล,Ponkamon mansion,ไม่ได้,ไม่ได้,05.00-22.00 น.,ใกล้ถนนใหญ่,ไกล,ปานกลาง,150 เมตร,350 เมตร,1.8 กิโลเมตร,600 เมตร,450 เมตร,ไม่เสี่ยง
58,7-พ.ค.-69,หอพักกรีนโฮม,โซนบ้านเก่าน้อย บ้านบัววัด,ครบ,ครบ,ผ่าน,,15.120373,104.901237,1800-3050,150 เหมาจ่าย,9,2000-2500,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,ไม่มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,097-054-0557,097-054-0557,หอพักกรีนโฮม,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ไกล,เงียบ,950 เมตร,1.4 กิโลเมตร,1.8 กิโลเมตร,1.2 กิโลเมตร,950 เมตร,ไม่เสี่ยง
59,7-พ.ค.-69,หอพักดอกไม้หอม,โซนบ้านเก่าน้อย บ้านบัววัด,ครบ,ครบ,ผ่าน,,15.121199,104.902402,2200-4000,150 เหมาจ่าย,8,2200-4000,สิ้นทุกเดือนเมษายน,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,098-965-9954,098-965-9954,หอพักดอกไม้หอม,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ไกล,เงียบ,800 เมตร,500 เมตร,1.9 กิโลเมตร,750 เมตร,1.3 กิโลเมตร,เสี่ยง
60,7-พ.ค.-69,หอพักริมมอแมนชั่น,โซนบ้านเก่าน้อย บ้านบัววัด,ครบ,ครบ,ผ่าน,,15.122121,104.90311,"พัดลม2,900 แอร์3,200",เหมาจ่าย 100/คน,7 บาท/หน่วย,"3,000 บาท",ไม่มีข้อมูล,หอพักหญิง,ทั้งสอง,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,081-547-3506,ไม่มีข้อมูล,หอพักริมมอแมนชั่น-ข้าง ม.อุบลฯ,ไม่ได้,ได้,05.00-22.00 น.,ในซอย,ไกล,เงียบ,750 เมตร,650 เมตร,2.1 กิโลเมตร,1.5 กิโลเมตร,2.4 กิโลเมตร,ไม่เสี่ยง
